address,x,y,z
372,684.74316,291.7667,0.0
373,660.9861,266.2859,0.0
374,663.14526,300.40338,0.0
375,689.9203,308.61072,0.0
376,706.7644,266.71533,0.0
377,707.6293,289.60748,0.0
378,687.3317,316.3825,0.0
379,705.4701,262.39697,0.0
380,732.2451,293.4965,0.0
381,687.3317,291.3312,0.0
382,692.9445,229.5737,0.0
383,665.3045,233.46272,0.0
384,654.9441,299.1092,0.0
385,664.4456,319.836,0.0
386,673.08246,268.44507,0.0
387,695.1035,321.1364,0.0
388,711.9477,354.38904,0.0
389,711.5182,353.9535,0.0
390,683.0133,341.86334,0.0
391,670.48773,361.29596,0.0
392,670.9232,357.8425,0.0
393,709.35913,332.79108,0.0
394,714.1069,356.1127,0.0
395,714.1069,356.1127,0.0
396,698.56323,312.4936,0.0
397,671.35254,359.13678,0.0
398,670.05835,384.6175,0.0
399,668.76404,322.86014,0.0
400,693.3799,313.79395,0.0
401,705.0408,366.91473,0.0
402,730.95087,398.873,0.0
403,710.224,413.55173,0.0
404,677.8302,411.3926,0.0
405,649.76086,405.35056,0.0
406,652.7849,358.27182,0.0
407,650.1902,329.33762,0.0
408,670.9232,359.13678,0.0
409,646.3013,371.23306,0.0
410,643.2832,369.93265,0.0
411,676.10034,408.80402,0.0
412,660.5567,429.96646,0.0
413,626.0037,429.53088,0.0
414,630.32214,452.8525,0.0
415,612.61926,447.2399,0.0
416,638.5294,421.3297,0.0
417,657.1033,444.6513,0.0
418,677.8302,457.6064,0.0
419,659.26245,447.66925,0.0
420,621.256,175.15878,0.0
421,638.5294,148.3837,0.0
422,636.37024,145.35957,0.0
423,636.37024,145.35957,0.0
431,1012.0,130.0,0.0
432,964.9274,170.61957,0.0
433,955.8183,226.03438,0.0
434,940.6366,265.13275,0.0
435,949.7456,207.81625,0.0
436,949.7456,175.55125,0.0
437,950.5063,233.24806,0.0
438,988.0834,260.20096,0.0
439,987.32886,197.18604,0.0
440,1009.7243,146.32259,0.0
441,993.78186,149.73927,0.0
442,951.6473,180.4831,0.0
443,938.3609,233.24806,0.0
444,933.0427,273.10693,0.0
445,942.9124,230.2117,0.0
446,940.6366,281.08118,0.0
447,954.68353,341.81424,0.0
448,955.8183,399.8913,0.0
449,964.17285,348.64752,0.0
450,967.2092,285.25235,0.0
451,972.1411,226.4147,0.0
452,970.2456,180.10892,0.0
453,958.47437,221.10266,0.0
